ORDER_DATE,COUNT
2021-01-01,1395
2021-01-02,1412
2021-01-03,1241
2021-01-04,2195
2021-01-05,2197
2021-01-06,1956
2021-01-07,1898
2021-01-08,2140
2021-01-09,1722
2021-01-10,1387
2021-01-11,1378
2021-01-12,2331
2021-01-13,3050
2021-01-14,2127
2021-01-15,2014
2021-01-16,1600
2021-01-17,1590
2021-01-18,1742
2021-01-19,1684
2021-01-20,1786
2021-01-21,1604
2021-01-22,1458
2021-01-23,1256
2021-01-24,1331
2021-01-25,1426
2021-01-26,1596
2021-01-27,2802
2021-01-28,2076
2021-01-29,1887
2021-01-30,1411
2021-01-31,1367
2021-02-01,1756
2021-02-02,1872
2021-02-03,2021
2021-02-04,1747
2021-02-05,1350
2021-02-06,1023
2021-02-07,920
2021-02-08,1061
2021-02-09,1214
2021-02-10,1416
2021-02-11,1075
2021-02-12,1060
2021-02-13,2110
2021-02-14,1423
2021-02-15,1186
2021-02-16,935
2021-02-17,837
2021-02-18,1001
2021-02-19,960
2021-02-20,745
2021-02-21,718
2021-02-22,889
2021-02-23,877
2021-02-24,944
2021-02-25,1283
2021-02-26,940
2021-02-27,1717
2021-02-28,1694
2021-03-01,1627
2021-03-02,1605
2021-03-03,1678
2021-03-04,2144
2021-03-05,1093
2021-03-06,844
2021-03-07,1225
2021-03-08,1622
2021-03-09,1433
2021-03-10,1352
2021-03-11,1232
2021-03-12,1230
2021-03-13,1139
2021-03-14,958
2021-03-15,1492
2021-03-16,1540
2021-03-17,1868
2021-03-18,1655
2021-03-19,1509
2021-03-20,1536
2021-03-21,1535
2021-03-22,1666
2021-03-23,1233
2021-03-24,1517
2021-03-25,1097
2021-03-26,960
2021-03-27,868
2021-03-28,866
2021-03-29,1182
2021-03-30,1384
2021-03-31,1221
2021-04-01,1211
2021-04-02,1035
2021-04-03,847
2021-04-04,987
2021-04-05,1076
2021-04-06,1236
2021-04-07,1203
2021-04-08,1539
2021-04-09,1155
2021-04-10,989
2021-04-11,1078
2021-04-12,1208
2021-04-13,1210
2021-04-14,1389
2021-04-15,1676
2021-04-16,1080
2021-04-17,860
2021-04-18,743
2021-04-19,898
2021-04-20,956
2021-04-21,832
2021-04-22,802
2021-04-23,1023
2021-04-24,743
2021-04-25,674
2021-04-26,1113
2021-04-27,1152
2021-04-28,1393
2021-04-29,1319
2021-04-30,1216
2021-05-01,1202
2021-05-02,1175
2021-05-03,1105
2021-05-04,1051
2021-05-05,1039
2021-05-06,915
2021-05-07,761
2021-05-08,652
2021-05-09,655
2021-05-10,913
2021-05-11,989
2021-05-12,1145
2021-05-13,1291
2021-05-14,1340
2021-05-15,1171
2021-05-16,1283
2021-05-17,1353
2021-05-18,1461
2021-05-19,1167
2021-05-20,1017
2021-05-21,1217
2021-05-22,906
2021-05-23,923
2021-05-24,1076
2021-05-25,1188
2021-05-26,1175
2021-05-27,1161
2021-05-28,973
2021-05-29,914
2021-05-30,854
2021-05-31,882
2021-06-01,1155
2021-06-02,1015
2021-06-03,1043
2021-06-04,1165
2021-06-05,997
2021-06-06,1012
2021-06-07,1166
2021-06-08,1272
2021-06-09,1138
2021-06-10,1113
2021-06-11,980
2021-06-12,930
2021-06-13,910
2021-06-14,1053
2021-06-15,1213
2021-06-16,1321
2021-06-17,1131
2021-06-18,1203
2021-06-19,893
2021-06-20,801
2021-06-21,1075
2021-06-22,1262
2021-06-23,1315
2021-06-24,1158
2021-06-25,981
2021-06-26,947
2021-06-27,950
2021-06-28,1676
2021-06-29,1490
2021-06-30,1452
2021-07-01,1310
2021-07-02,1258
2021-07-03,1061
2021-07-04,951
2021-07-05,1017
2021-07-06,1092
2021-07-07,1182
2021-07-08,1259
2021-07-09,1166
2021-07-10,1168
2021-07-11,1390
2021-07-12,1379
2021-07-13,1564
2021-07-14,2166
2021-07-15,2035
2021-07-16,1556
2021-07-17,1230
2021-07-18,1279
2021-07-19,1468
2021-07-20,1637
2021-07-21,1466
2021-07-22,1399
2021-07-23,1218
2021-07-24,962
2021-07-25,880
2021-07-26,1154
2021-07-27,1391
2021-07-28,1288
2021-07-29,1171
2021-07-30,1233
2021-07-31,1082
2021-08-01,1866
2021-08-02,1910
2021-08-03,1947
2021-08-04,1741
2021-08-05,1652
2021-08-06,1488
2021-08-07,1331
2021-08-08,1095
2021-08-09,1245
2021-08-10,1132
2021-08-11,1242
2021-08-12,1087
2021-08-13,1040
2021-08-14,942
2021-08-15,1012
2021-08-16,1176
2021-08-17,1285
2021-08-18,1335
2021-08-19,1120
2021-08-20,1187
2021-08-21,1025
2021-08-22,1018
2021-08-23,1180
2021-08-24,1258
2021-08-25,1249
2021-08-26,1219
2021-08-27,995
2021-08-28,1480
2021-08-29,1534
2021-08-30,1597
2021-08-31,1578
2021-09-01,1217
2021-09-02,927
2021-09-03,1079
2021-09-04,1009
2021-09-05,1016
2021-09-06,1017
2021-09-07,1221
2021-09-08,1288
2021-09-09,1186
2021-09-10,1196
2021-09-11,1041
2021-09-12,1194
2021-09-13,1528
2021-09-14,2115
2021-09-15,1631
2021-09-16,1256
2021-09-17,1160
2021-09-18,1070
2021-09-19,901
2021-09-20,1335
2021-09-21,1091
2021-09-22,1246
2021-09-23,1154
2021-09-24,1041
2021-09-25,913
2021-09-26,953
2021-09-27,1830
2021-09-28,1683
2021-09-29,1698
2021-09-30,1647
2021-10-01,1545
2021-10-02,1341
2021-10-03,1318
2021-10-04,1070
2021-10-05,1031
2021-10-06,1192
2021-10-07,1066
2021-10-08,930
2021-10-09,839
2021-10-10,933
2021-10-11,1151
2021-10-12,1215
2021-10-13,1599
2021-10-14,1374
2021-10-15,1258
2021-10-16,1252
2021-10-17,1147
2021-10-18,2139
2021-10-19,2340
2021-10-20,2011
2021-10-21,2113
2021-10-22,1753
2021-10-23,1600
2021-10-24,1636
2021-10-25,1400
2021-10-26,1209
2021-10-27,1302
2021-10-28,1242
2021-10-29,1209
2021-10-30,1086
2021-10-31,1188
2021-11-01,1438
2021-11-02,1658
2021-11-03,1671
2021-11-04,1428
2021-11-05,1413
2021-11-06,1248
2021-11-07,1370
2021-11-08,1298
2021-11-09,1418
2021-11-10,1370
2021-11-11,1479
2021-11-12,1310
2021-11-13,1273
2021-11-14,1154
2021-11-15,1333
2021-11-16,1340
2021-11-17,1637
2021-11-18,1369
2021-11-19,1139
2021-11-20,1132
2021-11-21,1084
2021-11-22,2141
2021-11-23,2186
2021-11-24,2933
2021-11-25,2992
2021-11-26,3748
2021-11-27,3620
2021-11-28,2575
2021-11-29,3225
2021-11-30,2726
2021-12-01,1762
2021-12-02,2120
2021-12-03,1995
2021-12-04,1657
2021-12-05,1846
2021-12-06,2114
2021-12-07,2402
2021-12-08,2060
2021-12-09,2189
2021-12-10,2038
2021-12-11,1814
2021-12-12,1865
2021-12-13,2141
2021-12-14,1913
2021-12-15,2384
2021-12-16,2185
2021-12-17,1987
2021-12-18,2092
2021-12-19,2180
2021-12-20,2102
2021-12-21,1903
2021-12-22,1356
2021-12-23,1153
2021-12-24,1204
2021-12-25,1234
2021-12-26,4047
2021-12-27,2816
2021-12-28,1676
2021-12-29,1572
2021-12-30,1629
2021-12-31,1382
2022-01-01,1260
2022-01-02,1291
2022-01-03,1832
2022-01-04,2025
2022-01-05,1976
2022-01-06,1942
2022-01-07,1874
2022-01-08,1899
2022-01-09,1430
2022-01-10,1460
2022-01-11,2740
2022-01-12,2607
2022-01-13,2039
2022-01-14,1805
2022-01-15,1585
2022-01-16,1499
2022-01-17,1980
2022-01-18,2440
2022-01-19,2268
2022-01-20,2486
2022-01-21,1866
2022-01-22,1493
2022-01-23,1425
2022-01-24,1653
2022-01-25,1490
2022-01-26,1416
2022-01-27,1368
2022-01-28,1212
2022-01-29,2095
2022-01-30,1290
2022-01-31,1553
2022-02-01,1738
2022-02-02,1627
2022-02-03,1634
2022-02-04,1518
2022-02-05,1195
2022-02-06,1065
2022-02-07,1429
2022-02-08,1733
2022-02-09,1971
2022-02-10,1684
2022-02-11,1424
2022-02-12,1449
2022-02-13,1318
2022-02-14,1413
2022-02-15,1602
2022-02-16,1756
2022-02-17,1725
2022-02-18,1547
2022-02-19,1368
2022-02-20,2571
2022-02-21,2169
2022-02-22,1464
2022-02-23,1400
2022-02-24,1256
2022-02-25,1135
2022-02-26,1215
2022-02-27,1157
2022-02-28,1330
2022-03-01,2115
2022-03-02,2042
2022-03-03,2166
2022-03-04,2034
2022-03-05,1876
2022-03-06,1509
2022-03-07,1451
2022-03-08,1429
2022-03-09,1281
2022-03-10,1368
2022-03-11,1256
2022-03-12,1237
2022-03-13,1463
2022-03-14,1208
2022-03-15,1336
2022-03-16,1528
2022-03-17,1607
2022-03-18,1570
2022-03-19,1474
2022-03-20,1516
2022-03-21,2662
2022-03-22,2357
2022-03-23,2223
2022-03-24,1946
2022-03-25,1875
2022-03-26,1644
2022-03-27,1671
2022-03-28,1351
2022-03-29,1323
2022-03-30,1363
2022-03-31,1220
2022-04-01,1256
2022-04-02,1135
2022-04-03,1370
2022-04-04,1475
2022-04-05,1476
2022-04-06,1456
2022-04-07,1493
2022-04-08,1359
2022-04-09,1490
2022-04-10,1414
2022-04-11,1446
2022-04-12,1315
2022-04-13,1350
2022-04-14,1861
2022-04-15,1489
2022-04-16,1469
2022-04-17,1147
2022-04-18,1336
2022-04-19,2151
2022-04-20,1406
2022-04-21,1334
2022-04-22,1195
2022-04-23,1119
2022-04-24,1482
2022-04-25,1734
2022-04-26,1860
2022-04-27,1654
2022-04-28,1454
2022-04-29,1405
2022-04-30,1337
2022-05-01,1556
2022-05-02,1489
2022-05-03,1364
2022-05-04,1391
2022-05-05,1591
2022-05-06,1243
2022-05-07,1119
2022-05-08,1011
2022-05-09,1312
2022-05-10,1506
2022-05-11,1456
2022-05-12,1414
2022-05-13,1205
2022-05-14,1002
2022-05-15,1060
2022-05-16,1309
2022-05-17,1320
2022-05-18,1257
2022-05-19,1505
2022-05-20,1362
2022-05-21,1283
2022-05-22,1265
2022-05-23,1362
2022-05-24,1336
2022-05-25,1398
2022-05-26,1339
2022-05-27,1291
2022-05-28,1279
2022-05-29,1009
2022-05-30,1083
2022-05-31,1234
2022-06-01,1143
2022-06-02,1061
2022-06-03,1138
2022-06-04,1041
2022-06-05,1086
